clusx clusy plot tree stem spec.1 spec.2 spec.3 spec.4 dbh health.id origi.1 stumpd totalh boleh
188 187 7 15 1 CMB-SCH Combretum-schumannii XXX XXX 21.8 1 N -1 -1 -1
188 187 6 1 1 DAL-NIT Dalbergia-nitidula XXX XXX 1.5 7 N -1 -1 -1
188 187 6 1 2 DAL-NIT Dalbergia-nitidula XXX XXX 1.3 6 N -1 -1 -1
188 187 6 2 1 MRK-OBT Markhamia-obtusifolia XXX XXX 1.7 7 N -1 -1 -1
188 187 6 3 1 HOL-FEB Holarrhena-febrifuga XXX XXX 1.8 1 N 3.5 3 -1
188 187 6 3 2 HOL-FEB Holarrhena-febrifuga XXX XXX 1.6 1 N -1 -1 -1
188 187 6 4 1 DAL-NIT Dalbergia-nitidula XXX XXX 1.2 1 N -1 -1 -1
188 187 6 5 1 MLT-STU Millettia-stuhlmannii XXX XXX 27.5 7 N -1 -1 -1
188 187 6 6 1 MLT-STU Millettia-stuhlmannii XXX XXX 12.8 1 N -1 -1 -1
188 187 6 7 1 MRK-OBT Markhamia-obtusifolia XXX XXX 26.5 1 N -1 -1 5
188 187 6 8 1 XRD-STU Xeroderris-stuhlmannii XXX XXX 36.5 1 N 45 13 5
188 187 6 9 1 PTL-MYR Pteleopsis-myrtifolia XXX XXX 30 1 N -1 -1 6.5
188 187 6 10 1 DOM-TOR Dombeya-torrida XXX XXX 36 1 N -1 -1 6
188 187 5 1 1 CSS Cassia-sp. XXX XXX 1.9 1 N -1 -1 -1
188 187 5 2 1 TRC Tricalysia-sp. XXX XXX 1.2 1 N -1 -1 -1
188 187 5 3 1 TRC Tricalysia-sp. XXX XXX 2.2 7 N -1 -1 -1
188 187 5 4 1 TRC Tricalysia-sp. XXX XXX 4 1 N 5.5 5 -1
188 187 5 5 1 CRT Crotalaria-sp. XXX XXX 1.8 1 N -1 -1 -1
188 187 5 5 1 DSP-ABY Diospyros-abyssinica XXX XXX 1.8 1 N -1 -1 -1
188 187 5 5 2 DOM Dombeya-sp. XXX XXX 1.9 1 N -1 -1 -1
188 187 5 5 3 DOM Dombeya-sp. XXX XXX 1.5 1 N -1 -1 -1
188 187 5 6 1 DRP Drypetes-sp. XXX XXX 4.4 7 N -1 -1 -1
188 187 5 7 1 RCN Ricinodendron-sp. XXX XXX 2.3 1 N 2.9 5 -1
188 187 5 8 1 VAN Vangueria-sp. XXX XXX 5.8 1 N -1 -1 -1
188 187 5 9 1 HMN-ULM Hymenocardia-ulmoides XXX XXX 8.8 1 N -1 -1 -1
188 187 5 10 1 GRW-GOE Grewia-goetzeana XXX XXX 5.7 1 N -1 -1 -1
188 187 5 11 1 MYS-AET Mystroxylon-aethiopicum XXX XXX 15 1 N -1 -1 -1
188 187 5 12 1 MYS-AET Mystroxylon-aethiopicum XXX XXX 11.2 1 N 14 7.5 -1
188 187 5 13 1 MYS-AET Mystroxylon-aethiopicum XXX XXX 18.3 7 N -1 -1 -1
188 187 5 14 1 BOM Bombax-sp. XXX XXX 68.5 1 N -1 -1 7
188 187 5 15 1 CLR Clerodendrum-sp. XXX XXX 32.2 1 N -1 -1 -1
188 187 5 16 1 BOM Bombax-sp. XXX XXX 61.5 1 N -1 -1 -1
188 187 5 17 1 BRH-UTI Brachystegia-utilis XXX XXX 38 1 N -1 -1 -1
188 187 5 18 1 BSC-ANG Boscia-angustifolia XXX XXX 50.8 1 N -1 -1 -1
188 187 4 1 1 HMN-ULM Hymenocardia-ulmoides XXX XXX 2.5 1 N -1 -1 -1
188 187 4 2 1 HMN-ULM Hymenocardia-ulmoides XXX XXX 6 1 N -1 -1 -1
188 187 4 3 1 CRO Croton-sp. XXX XXX 1.5 1 N -1 -1 -1
188 187 4 4 1 CTN Catunaregam-sp. XXX XXX 2.6 1 N -1 -1 -1
188 187 4 4 2 CTN Catunaregam-sp. XXX XXX 2.8 1 N 4 5 -1
188 187 4 5 1 TRC Tricalysia-sp. XXX XXX 3 1 N -1 -1 -1
188 187 4 5 2 TRC Tricalysia-sp. XXX XXX 4 1 N -1 -1 -1
188 187 4 6 1 HMN-ULM Hymenocardia-ulmoides XXX XXX 5 1 N -1 -1 -1
188 187 4 7 1 HMN-ULM Hymenocardia-ulmoides XXX XXX 7.5 1 N -1 -1 -1
188 187 4 8 1 CRO Croton-sp. XXX XXX 1 1 N 2.7 2 -1
